,Date,Hospitalized,Death,Death Increase,Negative Tests,Negative Tests Increase,Positive Tests,Positive Tests Increase,Total Test Results,Total Test Results Increase
66,2020-12-31,583863.0,336802.0,3297,58644173.0,262855,19864374.0,226246,254249919,1797220
67,2020-12-30,579515.0,333505.0,3900,58381318.0,215107,19638128.0,229496,252452699,1583713
68,2020-12-29,574001.0,329605.0,3289,58166211.0,201698,19408632.0,199679,250868986,1343514
69,2020-12-28,568740.0,326316.0,1490,57964513.0,309721,19208953.0,164127,249525472,1332122
70,2020-12-27,565017.0,324826.0,1397,57654792.0,204288,19044826.0,153540,248193350,1395240
71,2020-12-26,562715.0,323429.0,1426,57450504.0,214555,18891286.0,190594,246798110,1974298
72,2020-12-25,560423.0,322003.0,1553,57235949.0,170690,18700692.0,126796,244823812,1568040
73,2020-12-24,558376.0,320450.0,2958,57065259.0,322117,18573896.0,206684,243255772,2031894
74,2020-12-23,554087.0,317492.0,3393,56743142.0,304962,18367212.0,224526,241223878,1791481
75,2020-12-22,549292.0,314099.0,3137,56438180.0,268046,18142686.0,193008,239432397,1770133
76,2020-12-21,544725.0,310962.0,1480,56170134.0,439796,17949678.0,179406,237662264,1974590
77,2020-12-20,541614.0,309482.0,1668,55730338.0,249266,17770272.0,197494,235687674,1821629
78,2020-12-19,539232.0,307814.0,2708,55481072.0,200763,17572778.0,204873,233866045,1859539
79,2020-12-18,535803.0,305106.0,2866,55280309.0,450795,17367905.0,241786,232006506,2193466
80,2020-12-17,530589.0,302240.0,3465,54829514.0,246432,17126119.0,242970,229813040,1912697
81,2020-12-16,525422.0,298775.0,3453,54583082.0,303846,16883149.0,234288,227900343,1839996
82,2020-12-15,520646.0,295322.0,2924,54279236.0,316712,16648861.0,193218,226060347,1833138
83,2020-12-14,516216.0,292398.0,1357,53962524.0,456078,16455643.0,193286,224227209,2010951
84,2020-12-13,512755.0,291041.0,1501,53506446.0,299810,16262357.0,187251,222216258,1827310
85,2020-12-12,510441.0,289540.0,2497,53206636.0,226203,16075106.0,226904,220388948,1919896
86,2020-12-11,506652.0,287043.0,2747,52980433.0,350441,15848202.0,236933,218469052,1969509
87,2020-12-10,501241.0,284296.0,3132,52629992.0,311589,15611269.0,220846,216499543,1967578
88,2020-12-09,496791.0,281164.0,3169,52318403.0,378319,15390423.0,216728,214531965,1832545
89,2020-12-08,491491.0,277995.0,2680,51940084.0,292335,15173695.0,217844,212699420,1690914
90,2020-12-07,487081.0,275315.0,1291,51647749.0,268980,14955851.0,181897,211008506,1653269
91,2020-12-06,483620.0,274024.0,1163,51378769.0,299693,14773954.0,182580,209355237,1675779
92,2020-12-05,481309.0,272861.0,2486,51079076.0,356781,14591374.0,219070,207679458,2302086
93,2020-12-04,477796.0,270375.0,2563,50722295.0,310521,14372304.0,230313,205377372,1918739
94,2020-12-03,473142.0,267812.0,2822,50411774.0,306223,14141991.0,216271,203458633,1904020
95,2020-12-02,467773.0,264990.0,2811,50105551.0,-658774,13925720.0,203429,201554613,1587969
96,2020-12-01,462535.0,262179.0,2489,50764325.0,263699,13722291.0,181183,199966644,1494046
97,2020-11-30,457619.0,259690.0,1037,50500626.0,344231,13541108.0,150031,198472598,1520240
98,2020-11-29,454225.0,258653.0,825,50156395.0,226788,13391077.0,137254,196952358,1337135
99,2020-11-28,451796.0,257828.0,1243,49929607.0,324413,13253823.0,151469,195615223,1675224
100,2020-11-27,448311.0,256585.0,1404,49605194.0,384580,13102354.0,198874,193939999,1970528
101,2020-11-26,444893.0,255181.0,1392,49220614.0,179941,12903480.0,129764,191969471,1467611
102,2020-11-25,442560.0,253789.0,2281,49040673.0,394165,12773716.0,188496,190501860,1881059
103,2020-11-24,438022.0,251508.0,2091,48646508.0,360586,12585220.0,166503,188620801,1873837
104,2020-11-23,433337.0,249417.0,853,48285922.0,331207,12418717.0,154696,186746964,1671011
105,2020-11-22,430502.0,248564.0,923,47954715.0,373855,12264021.0,154188,185075953,1818793
106,2020-11-21,428211.0,247641.0,1551,47580860.0,376533,12109833.0,186385,183257160,2140465
107,2020-11-20,424836.0,246090.0,1910,47204327.0,448167,11923448.0,197164,181116695,2004886
108,2020-11-19,420933.0,244180.0,2010,46756160.0,324389,11726284.0,187932,179111809,1845354
109,2020-11-18,416477.0,242170.0,1885,46431771.0,346915,11538352.0,168220,177266455,1701006
110,2020-11-17,412125.0,240285.0,1553,46084856.0,300498,11370132.0,159826,175565449,1634272
111,2020-11-16,408238.0,238732.0,607,45784358.0,249458,11210306.0,149977,173931177,1484630
112,2020-11-15,405331.0,238125.0,712,45534900.0,400351,11060329.0,147062,172446547,1626437
113,2020-11-14,403463.0,237413.0,1353,45134549.0,300446,10913267.0,167726,170820110,1785889
114,2020-11-13,399995.0,236060.0,1301,44834103.0,331974,10745541.0,174633,169034221,1742559
115,2020-11-12,396322.0,234759.0,1112,44502129.0,271550,10570908.0,157542,167291662,1607551
116,2020-11-11,392760.0,233647.0,1577,44230579.0,283243,10413366.0,149333,165684111,1503560
117,2020-11-10,389479.0,232070.0,1358,43947336.0,203377,10264033.0,135569,164180551,1386936
118,2020-11-09,385409.0,230712.0,577,43743959.0,283666,10128464.0,118403,162793615,1314380
119,2020-11-08,383233.0,230135.0,513,43460293.0,239635,10010061.0,112445,161479235,1266058
120,2020-11-07,381766.0,229622.0,1125,43220658.0,357869,9897616.0,132113,160213177,1546164
121,2020-11-06,379425.0,228497.0,1185,42862789.0,314445,9765503.0,129990,158667013,1772955
122,2020-11-05,376304.0,227312.0,1154,42548344.0,302427,9635513.0,119023,156894058,1561062
123,2020-11-04,373751.0,226158.0,1131,42245917.0,202598,9516490.0,105996,155332996,1318451
124,2020-11-03,370644.0,225027.0,1517,42043319.0,255848,9410494.0,119949,154014545,1269152
125,2020-11-02,367509.0,223510.0,475,41787471.0,283444,9290545.0,83454,152745393,1238898
126,2020-11-01,366110.0,223035.0,410,41504027.0,228603,9207091.0,141974,151506495,1160138
127,2020-10-31,364944.0,222625.0,958,41275424.0,325765,9065117.0,91293,150346357,1473444
128,2020-10-30,362828.0,221667.0,947,40949659.0,206695,8973824.0,97942,148872913,1423126
129,2020-10-29,360425.0,220720.0,1060,40742964.0,317094,8875882.0,89365,147449787,1453174
130,2020-10-28,358104.0,219660.0,1047,40425870.0,265933,8786517.0,79700,145996613,1150428
131,2020-10-27,355643.0,218613.0,922,40159937.0,220640,8706817.0,72255,144846185,1150455
132,2020-10-26,353353.0,217691.0,397,39939297.0,268034,8634562.0,63430,143695730,1131572
133,2020-10-25,351656.0,217294.0,391,39671263.0,268680,8571132.0,64471,142564158,1222362
